ts,addr,account_value,total_ntl_pos
2026-07-13T12:01:50Z,0x6ba889db7f923622d3548f621ecc2054b80c1817,123659.94,554094.67
2026-07-13T12:01:50Z,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,234690.11,363046.99
2026-07-13T12:01:50Z,0x008f32a2b8c5efc0ecd55c9dfa90d319f7b0dd2b,4207.63,42007.77
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,1084358.31,2171173.71
2026-07-13T12:01:50Z,0x0b5a536884f1c64ecab5d5894c444fe54d19adf2,87475.32,1525.38
2026-07-13T12:01:50Z,0x0a06ec6754b628be489b2c40bba20c8580392a7b,1174540.78,772773.15
2026-07-13T12:01:50Z,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,13684.30,125653.50
2026-07-13T12:01:50Z,0x6c2e0d72160d7d750d6de3820b093925e639fbde,25260.34,7461.76
2026-07-13T12:01:50Z,0x7d0c59691fec7f3fea385cdc3126c37a41d91b28,1822782.81,5462286.31
2026-07-13T12:01:50Z,0x883e5edaf4fc54db91e7a619431000f20e0f9a9e,3807.18,37850.39
2026-07-13T12:01:50Z,0x6a9e7566877b52b13b28230b5543cbccf3685870,9565.88,10093.44
2026-07-13T12:01:50Z,0x57002993f7e6939385852b15209bb86c8caff854,31964.29,231327.08
2026-07-13T12:01:50Z,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,4852505.21,24267835.96
2026-07-13T12:01:50Z,0x034fb27dd90457fb477d0eec043eb360a13e9631,91659.52,246814.98
2026-07-13T12:01:50Z,0x4e614a1dc65a06d55203e55ac33b295a068d4684,13575.19,12221.57
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,743045.26,3925925.76
2026-07-13T12:01:50Z,0x1744cfb8032f1ed43255211e350cddba678e794c,3347.17,17932.23
2026-07-13T12:01:50Z,0x5323b92268b4e140ac2133c677e991cd9ad1b23c,6606784.39,5256897.36
2026-07-13T12:01:50Z,0x170a03a53fe05bf4ce6753cb0907d05e827bc3c6,7270.79,9913.02
2026-07-13T12:01:50Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,363968.29,193157.58
2026-07-13T12:01:50Z,0xf36c562be0598b8ce109998b6aa2d53ffcd8316b,1145776.41,366627.33
2026-07-13T12:01:50Z,0x9a31f7aff78fd464bbceb398e11b82ba633c6525,1099812.60,221049.43
2026-07-13T12:01:50Z,0x31ca8395cf837de08b24da3f660e77761dfb974b,3038175.31,4175461.90
2026-07-13T12:01:50Z,0x33ad48ed92e3e91a98278f0f7456eae6eafa516e,1070459.01,353830.53
2026-07-13T12:01:50Z,0x67464f6f3ae9b32406f8de579574da60562256c6,3535.00,6998.74
2026-07-13T12:01:50Z,0x4e60e3a4a32d63d245aa4e4ce304b4254b088f95,225544.47,316959.22
2026-07-13T12:01:50Z,0xbc927e87d072dfac3693846a83fa6922cc6c5f2a,100413.22,80332.43
2026-07-13T12:01:50Z,0x5bff54944b4203ca76aa9e10081089b09720d838,4402.64,44149.89
2026-07-13T12:01:50Z,0x8231fdf9997c003a267374b45fb25c0455aa1dcb,1563592.46,522615.94
2026-07-13T12:01:50Z,0x5eeb5a0cb514bf3843d5f1c24752ee0e3b08f46c,25774.72,154600.19
2026-07-13T12:01:50Z,0xa62b923a112d50d03e1e096bbd53422490dac104,82532.42,139117.82
2026-07-13T12:01:50Z,0xd4c1f7e8d876c4749228d515473d36f919583d1d,6474813.10,55066053.67
2026-07-13T12:01:50Z,0x27c9fa86c91b84ddfa15de58c482ff662498d65d,1721212.20,15351687.84
2026-07-13T12:01:50Z,0xc42ec9d9156d9196f9a3887380ccfaaa518e4c8d,15490.16,48627.87
2026-07-13T12:01:50Z,0xbf09a526fe6bccd062a178d477f4051b20e20bbf,2592.13,17506.80
2026-07-13T12:01:50Z,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,11147.91,36218.96
2026-07-13T12:01:50Z,0x69d1652ae43f819e7518f732b2ea6b1a8ad00336,513926.82,47047.91
2026-07-13T12:01:50Z,0x5fa3968b8f255076d1e23ae755fd93222e509627,324774.96,123317.06
2026-07-13T12:01:50Z,0xd071d6d6ea52f5aa34b79e47f908ee48c8215837,398408.28,83566.96
2026-07-13T12:01:50Z,0x88250cf2f6402e856bc85fc65095e4a48bb12cb7,421498.99,2806692.41
2026-07-13T12:01:50Z,0x107b03dc1145bf44054d48e7c031ec34b42c3f60,6281.68,49314.09
2026-07-13T12:01:50Z,0x7b5fda757db52ea84f6271f9520db35ec76baf52,11607.31,12150.64
2026-07-13T12:01:50Z,0x2624be39a58cc8274f252052949bac2bab5c6264,4696.02,26781.13
2026-07-13T12:01:50Z,0xd8833e07f54183e26ed6b51b47a95af361f29c5c,64698.24,323080.65
2026-07-13T12:01:50Z,0x0ce048fe42c170e41740ee392e187f19515f339d,60090.88,353935.97
2026-07-13T12:01:50Z,0xfcf104006bfff47695c1dc21dad3e9de1e72098e,81199.39,123503.86
2026-07-13T12:01:50Z,0xa44ba2af3d472c5b2c04f68a6fa217ef2cf950a7,107631.15,816066.97
2026-07-13T12:01:50Z,0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff,4834053.23,22490278.35
2026-07-13T12:01:50Z,0xe535df6deaee41657bc4ce2860181eb02f2bd93d,9013.76,82048.84
2026-07-13T12:01:50Z,0x8b91cec98fa4097e224fa08e9225e8720fa27e21,127231.93,890959.60
2026-07-13T12:01:50Z,0x8177a240a90ff391308862b73555302b2fc764c3,3523.23,11154.16
2026-07-13T12:01:50Z,0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,4363454.16,5016541.39
2026-07-13T12:01:50Z,0xad8e1987833b692b59de004a25d0518af2ba94b6,197715.53,21074.84
2026-07-13T12:01:50Z,0x2e30c32738a28833e3d85189c04895c25ee54cb5,694576.42,1392174.06
2026-07-13T12:01:50Z,0x223537ac9a856c31f4043e86ced86bb29f06653e,113079.70,8243.35
2026-07-13T12:01:50Z,0x4c6988b39fc0904628c2959e7606ef5f8518c152,2607.55,12980.97
2026-07-13T12:01:50Z,0x04022c24d665fd621c0077be1258c9ec883da41f,2047.69,32.97
2026-07-13T12:01:50Z,0x92cbb22a9b9fc01da9914c9b39ed904dd61b859c,7667.88,76804.66
2026-07-13T12:01:50Z,0x0512943ce80e9ff832c3b4a3b25df9e9ed64d911,11605.32,4815.53
2026-07-13T12:01:50Z,0xf822fa0fd364c573fcdb7009fcf47601bc8be01a,53511154.15,137943073.03
2026-07-13T12:01:50Z,0x38f96bba487a628d2a84afc3fe5c7d77eb07cb04,1313113.96,1288264.84
2026-07-13T12:01:50Z,0x97554ce4c958636ddc98abb26125962f46a3470a,9831.50,50251.96
2026-07-13T12:01:50Z,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3,81879.06,19108.73
2026-07-13T12:01:50Z,0x7fdafde5cfb5465924316eced2d3715494c517d1,30748705.75,147976464.90
2026-07-13T12:01:50Z,0x71dfc07de32c2ebf1c4801f4b1c9e40b76d4a23d,496936.70,3417805.40
2026-07-13T12:01:50Z,0xe6caf898d70a0f0365ae8c6211ade489025aa1bb,8494.08,69308.08
2026-07-13T12:01:50Z,0x57d8e75f473cd6346495c9b6760a580018e840e6,874232.10,651865.48
2026-07-13T12:01:50Z,0xfc667adba8d4837586078f4fdcdc29804337ca06,22549257.88,45921289.95
2026-07-13T12:01:50Z,0x258a4b8a8447c61aabf1bef9bb14ee4d69efff03,3288471.29,7337745.94
2026-07-13T12:01:50Z,0xc1cba2215dcd446c91a4a7eafbcf149bd31b202d,2072.93,0.00
2026-07-13T12:01:50Z,0x52e842bd8299095eae43110dac619302f545456a,11718.05,60189.96
2026-07-13T12:01:50Z,0x14f8e042905350cee7ae0cec27f092f10dd912bb,154133.39,740.42
2026-07-13T12:01:50Z,0x6562a91a619c9cfa4263c99080e4a908de27d6b6,107433.96,1079811.09
2026-07-13T12:01:50Z,0xd440715f2ce6f7ed1924f282e0096c863e7049f7,100863.01,736186.87
2026-07-13T12:01:50Z,0x847bd1ef4fede0fe191129894d63044843f4d473,83933.01,163918.05
2026-07-13T12:01:50Z,0x2a72b57dea119cc0bac14df798f9e9b8b148267c,710252.98,735461.59
2026-07-13T12:01:50Z,0xbb828515677729c4db2f790a52cf14b1c659e19f,238946.97,806506.12
2026-07-13T12:01:50Z,0x48ea62a2cc8391fbbe210e8ee89db573a8ec145f,75076.91,61858.60
2026-07-13T12:01:50Z,0x0873ca7cb967af8c35642d903a950d256c1701df,10538.98,22266.04
2026-07-13T12:01:50Z,0xfe72c242af1a4ca8114c6a170ba4a823785241ce,294573.51,537628.30
2026-07-13T12:01:50Z,0x6e345f0defe1c207db23930a79c20782953db498,2025.31,11611.62
2026-07-13T12:01:50Z,0xa4a6e0fd7528a6f5c6ccbb3240ba8a2f825446cf,1300288.50,557800.46
2026-07-13T12:01:50Z,0xa51b6bbd7f835d7da10eddfdefb91254497bae17,10349.00,604.42
2026-07-13T12:01:50Z,0x18d8febc5cc01015c3223cff2028d6c38d19fe2c,2402.15,2275.59
2026-07-13T12:01:50Z,0x6cce8d4714303f1a2500893dab93cbaadf2fe035,25816.70,100504.57
2026-07-13T12:01:50Z,0xf05359fe3426248c3eb48ca9474160dc4510b99d,10028.90,7836.52
2026-07-13T12:01:50Z,0xd12a418a7467e13bed76f0515fb70e0f21cc9abf,3466.88,13226.98
2026-07-13T12:01:50Z,0x03458c63782a3a1ca6d6126a1d3ec936c33ae71a,4883.85,48747.75
2026-07-13T12:01:50Z,0xbee0000c04ee2efe66234bec57f7eaf38818fbca,320466.59,904073.36
2026-07-13T12:01:50Z,0x7b7f72a28fe109fa703eeed7984f2a8a68fedee2,2141646.53,188905.89
2026-07-13T12:01:50Z,0xb4d6fe0f1504a55c65a986ef55b9148a6f0dae7a,4988.59,13016.31
2026-07-13T12:01:50Z,0x3f240a16bb7c34302cab342227207acc3d9e0d4d,142441.03,1352397.80
2026-07-13T12:01:50Z,0x72d0b1f98fd9cdd4e46976edd86857b0266a62ea,1869358.41,932379.48
2026-07-13T12:01:50Z,0x727956612a8700627451204a3ae26268bd1a1525,67414.42,6080.12
2026-07-13T12:01:50Z,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,15303.90,33683.44
2026-07-13T12:01:50Z,0xeb473272fe8aff61d97fb974422966391f3c25be,4533.27,13602.72
2026-07-13T12:01:50Z,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,2146386.91,2054553.11
2026-07-13T12:01:50Z,0xeaa3bc9fb41ee4b302eac766564671da38cc8496,3029.91,15057.36
2026-07-13T12:01:50Z,0xa880d6cc607a05ea617307ab3b0d335e8d8424ee,109684.61,18093.57
2026-07-13T12:01:50Z,0x2cb562384765bea1612ceb60007e315f904fbe86,20048.49,11336.94
2026-07-13T12:01:50Z,0x3ee6903c8a6a112bd322a4ddc97d39953c414adb,794467.36,423666.95
2026-07-13T12:01:50Z,0xef96d013bdb1a5dfe553999f19b5091b9a299383,1012765.02,9813899.07
2026-07-13T12:01:50Z,0x1803d7c0300dc84e53bc070522cc9b14eebbacf8,2053.29,1626.69
2026-07-13T12:01:50Z,0x7a146ee9d212816c31a0a93531e23d4359aade10,14638.46,50798.95
2026-07-13T12:01:50Z,0x6ce8a609b7e76d22b3cf477c16453ef9ec9a188a,97864.67,213843.05
2026-07-13T12:01:50Z,0x5306cb5adfbaf940ce3dba0ac41d903dc70a766e,239700.03,163466.89
2026-07-13T12:01:50Z,0xff605a0d841c7f3c3bb7c583d51374a508b6f529,74934.32,64903.91
2026-07-13T12:01:50Z,0xe29d84a6f37858d7f8017be454ee35726511e525,22868.24,12922.77
2026-07-13T12:01:50Z,0x8f10353a39891ff9caae07a2301ae20ddca51076,4376.45,918.51
2026-07-13T12:01:50Z,0x2a767954b55264c1443b3fa634d4adb7d6059a53,789205.12,7550017.35
2026-07-13T12:01:50Z,0x67187a72669043ba203921deea72c399ddde68b3,2364.70,3992.40
2026-07-13T12:01:50Z,0xa875c42185070803a282fc5f0e9471e90edede2c,30251.82,217008.90
2026-07-13T12:01:50Z,0x4230d84bc168643535bddcc4b4d3aeec3989c19d,21179.42,18652.94
2026-07-13T12:01:50Z,0x8184405076b61ab78013f16393322eaf0d0a01a1,57079.69,7353.60
2026-07-13T12:01:50Z,0x8f0795c558b849eaa9014166ca71a5a5327daa8a,164979.37,258768.34
2026-07-13T12:01:50Z,0x9d92380727efc2d152ea8cb1ccb98e3fe293837d,2214.02,780.27
2026-07-13T12:01:50Z,0x9a9475c48edad42bbaf1c1754149a04b7ab07e1a,19249.39,122934.24
2026-07-13T12:01:50Z,0x8bd03b8a06612cdb83ebee91e901dae9203ef537,19372.90,42241.28
2026-07-13T12:01:50Z,0x94b227df8fe384dfa9273334c72e5efbf934599e,68187.99,682000.60
2026-07-13T12:01:50Z,0x31dea2516beee92135b96f464eeec3cf292a13f2,12104238.93,8100886.59
2026-07-13T12:01:50Z,0x83089ee02d834f0d0411eab46af8666a42dc289f,4269.34,67124.47
2026-07-13T12:01:50Z,0xdf83170d313813a71fd6b50fb981198833b73cff,267753.77,903717.97
2026-07-13T12:01:50Z,0x0dd5db9c3748486e747c6a123727f472668cf6ee,9599.76,30216.66
2026-07-13T12:01:50Z,0x848b6b4307ed911b52b67e9d5c6aa311431de388,189338.60,356997.19
2026-07-13T12:01:50Z,0xcf3f419d08a5bdc2c6e5fbd9ad70904c5420f95f,5289965.84,1624766.56
2026-07-13T12:01:50Z,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,9814482.11,32461474.57
2026-07-13T12:01:50Z,0x8591a1dcc39e348e9741df5ae3cf89c070c0905f,10953.38,16102.05
2026-07-13T12:01:50Z,0x000000006543993c87da063e328840e3550cabcd,78546.05,920603.91
2026-07-13T12:01:50Z,0x5233199fc1fdd34439650c4450671b5f8806832c,13452.67,65944.03
2026-07-13T12:01:50Z,0xeb83e695adcac2e83f290d2d2815fc58e6491d7a,18145.03,257088.61
2026-07-13T12:01:50Z,0xee162a5a60829bd346f0c1ac3514b21fe5f4b290,53910.64,3449.29
2026-07-13T12:01:50Z,0x2b23d15bd4da0905f1b2dc5b9a3d8d4d0875914f,20396.14,198902.90
2026-07-13T12:01:50Z,0x4ef1c5ae65ab5b37629b7aa523e7e95e7da528e3,48603.93,6725.16
2026-07-13T12:01:50Z,0x2eddf3aa5c4df34f9263a98b564bec3b4ec78179,3889971.75,14561629.62
2026-07-13T12:01:50Z,0xf3dfdbe8b4b3be95b538be764778e56949cbc357,2303.84,22959.07
2026-07-13T12:01:50Z,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,6955550.00,18485092.64
2026-07-13T12:01:50Z,0xf6d9ccf9865cea52c91a7fd720491eaa7bf17e4f,617953.80,218456.66
2026-07-13T12:01:50Z,0xe0e8c1d735698060477e79a8e4c20276fc2ec7a7,3161.41,28069.23
2026-07-13T12:01:50Z,0xa265636a3cf15e099c54632cb00c625d91543a13,647351.58,401563.61
2026-07-13T12:01:50Z,0xf9109ada2f73c62e9889b45453065f0d99260a2d,6080975.71,2001740.72
2026-07-13T12:01:50Z,0x62dbec4cd5fbc4b84994fc52520cd300b7168312,46397.67,521889.17
2026-07-13T12:01:50Z,0x5838f52ef2302de914d58154aa837f3910ae8ba5,459479.56,1795874.55
2026-07-13T12:01:50Z,0x92a6ce47f26f134871356e7bbf36bf27273f5035,10727.19,97183.55
2026-07-13T12:01:50Z,0x72fdadc3f9de255eb75ed816b2e036ab0a822ef7,5716.40,34143.60
2026-07-13T12:01:50Z,0xad0d614bed719fed42cf5bfeccb75e47256da754,5447.73,20609.81
2026-07-13T12:01:50Z,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,39645723.28,124261640.35
2026-07-13T12:01:50Z,0xbad78547ae2f710a7b07974a6fe4f5f9c33a2c31,80681.81,701.70
2026-07-13T12:01:50Z,0x32051a0c36af1449e0eee08146a808115ccc40bb,1540757.07,2356732.37
2026-07-13T12:01:50Z,0x3f3e7878cbde6da00629f6f6115f367f8ef316d2,45294.45,32164.22
2026-07-13T12:01:50Z,0xb10679bb432789f70791279938cd717b39d9a874,10490.18,0.00
2026-07-13T12:01:50Z,0x66d3974f5f5628422479ac415b4424131b2626d0,37386.74,94652.53
2026-07-13T12:01:50Z,0x50011cf3e4e7dbaec88351ac939ab732e4ac5b3a,2524.50,25242.58
2026-07-13T12:01:50Z,0x925a3877cd884b8edf3160192f76c7c251f83856,35706.61,124094.12
2026-07-13T12:01:50Z,0x9c70d39a75f55ef8ae41af10292a1c915e3c4323,104044.41,235433.55
2026-07-13T12:01:50Z,0xca230e816bdb34a46960c2f978a30a563d1ae9e0,1715802.45,910905.45
2026-07-13T12:01:50Z,0xaf2825f73a90cf08baf2577818826b79e3faca9b,36520.39,98052.25
2026-07-13T12:01:50Z,0xc029043cd00b80363130fa058818459a521842a1,8274.95,1794.65
2026-07-13T12:01:50Z,0x59e1120978c195657798a6d789d388d5cb59107e,83260.51,650689.88
2026-07-13T12:01:50Z,0x71d0e11ebb6150cebe20cf62f798be1a50108c26,7283011.91,4374090.28
2026-07-13T12:01:50Z,0xb39efb5f3d3c140a5f9a90b29315a8ef591eb6e0,16511.30,165062.24
2026-07-13T12:01:50Z,0x4c226d5a21ae3b9883f98cbda1a3be63e565f308,375657.48,698372.34
2026-07-13T12:01:50Z,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,176465.74,517080.61
2026-07-13T12:01:50Z,0x962bdd83c3943fe08b62101fd9f9a8b923a0b475,376727.56,2120189.52
2026-07-13T12:01:50Z,0x7e698eea0709e4a0dbbd790fc493d60691801157,446392.95,233532.71
2026-07-13T12:01:50Z,0x2a4ee571bbadd998a4110c56894fd6b231f62088,53728.44,1299.51
2026-07-13T12:01:50Z,0xc2f7f282c9a8497326af5dba178b7ecb3eeee628,3942.02,59647.53
2026-07-13T12:01:50Z,0xcc34f1c72857a01a3bf59de072eeb363db5935f9,3159.87,32092.71
2026-07-13T12:01:50Z,0x873b3a7e953f4928fc897e2ac7f1218a6c418e05,9272.88,2875.48
2026-07-13T12:01:50Z,0x8964ee288e13e8626b114cd4fd27add62c71b734,11185.49,2710.09
2026-07-13T12:01:50Z,0xb2f7374b222a930d20e8d556f33228211d1baf9f,6497900.53,17238771.87
2026-07-13T12:01:50Z,0x8f63c88fccae90c1f9eb8b447f830bce7b71dd74,280456.87,120825.73
2026-07-13T12:01:50Z,0x023a3d058020fb76cca98f01b3c48c8938a22355,13365408.47,62729452.17
2026-07-13T12:01:50Z,0x97c462e274368e4c9e60b4e1c05fca6ffee7738c,13473.07,12029.33
2026-07-13T12:01:50Z,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,17259.75,6611.98
2026-07-13T12:01:50Z,0xaf68caebaa151dd592112a07e2344b3950e13561,54689.16,71940.17
2026-07-13T12:01:50Z,0x9bbfe72693a8484c295682ad391090ad49b29705,8869.67,30850.64
2026-07-13T12:01:50Z,0xdb341624fe8c28e9a91ce0e7f2825b6c9c298e0b,2438.87,24248.28
2026-07-13T12:01:50Z,0x90a5ecd614f3d1388e8ff6833d5dcb18055ab35a,60983.74,31290.50
2026-07-13T12:01:50Z,0x010461c14e146ac35fe42271bdc1134ee31c703a,3003029.31,3890442.71
2026-07-13T12:01:50Z,0xb67c4c91728e6865b216e11d54b50c75bbd3fd5f,182904.89,526581.90
2026-07-13T12:41:28Z,0x3f3e7878cbde6da00629f6f6115f367f8ef316d2,45408.47,26963.77
2026-07-13T12:41:28Z,0x7a146ee9d212816c31a0a93531e23d4359aade10,14567.62,50261.84
2026-07-13T12:41:28Z,0x92a6ce47f26f134871356e7bbf36bf27273f5035,10705.25,97500.41
2026-07-13T12:41:28Z,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,363702.66,195045.16
2026-07-13T12:41:28Z,0x4c6988b39fc0904628c2959e7606ef5f8518c152,2422.14,12111.40
2026-07-13T12:41:28Z,0x881cd92459f09622680e711458b22c5335fba65b,360836.66,313485.54
2026-07-13T12:41:28Z,0x706bb519b05b7dc01d048af9a5e29d1ef5d6d9e3,82480.96,50352.76
2026-07-13T12:41:28Z,0x57d8e75f473cd6346495c9b6760a580018e840e6,875477.93,666214.99
2026-07-13T12:41:28Z,0xb67c4c91728e6865b216e11d54b50c75bbd3fd5f,183535.47,414126.33
2026-07-13T12:41:28Z,0xc799df4baa69044f59a3711f180a31e352829ba3,45233.16,59234.60
2026-07-13T12:41:28Z,0x414ade317cd254a970f97ec57185080a42f270b2,486883.69,1109909.98
2026-07-13T12:41:28Z,0xbeccae9ffcb69e9d42a1d4e744abf8056149562d,405265.89,2966137.60
2026-07-13T12:41:28Z,0xa880d6cc607a05ea617307ab3b0d335e8d8424ee,109410.80,47440.13
2026-07-13T12:41:28Z,0x7a5a42bd6b1fd13368732be8a7b63e06064e0394,344528.11,1011387.16
2026-07-13T12:41:28Z,0xc029043cd00b80363130fa058818459a521842a1,8257.26,3521.41
2026-07-13T12:41:28Z,0x8bd03b8a06612cdb83ebee91e901dae9203ef537,19054.12,41877.84
2026-07-13T12:41:28Z,0xb39efb5f3d3c140a5f9a90b29315a8ef591eb6e0,16354.99,170539.77
2026-07-13T12:41:28Z,0x2f0377d8234fa8a502648a2c2cc916f83b29d568,4825.21,48252.10
2026-07-13T12:41:28Z,0x27c9fa86c91b84ddfa15de58c482ff662498d65d,1797867.14,15464637.22
2026-07-13T12:41:28Z,0x674982e841a36f42cfdd3faa5d9ff3271829ce07,156713.71,1567137.15
